trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,stop,target,size,pnl,r_multiple,confluence,duration_seconds,cumulative_pnl,equity_at_exit,drawdown,running_win_rate,running_profit_factor,running_sharpe
48,EURUSD,sell,2007-04-20T05:00:00+00:00,2007-04-23T06:00:00+00:00,1.36079,1.35807,1.36392,1.35576,27009.6994,73.55988,,,262800.00,-122.27935,9905.01821,0.020464,0.666667,0.927338,0.016585
49,EURUSD,sell,2007-04-20T05:00:00+00:00,2007-04-23T07:00:00+00:00,1.36079,1.35896,1.35850,1.35576,9003.2331,16.51260,0.8003,,266400.00,-105.76675,9931.12672,0.017882,0.673469,0.937150,0.077938
50,EURUSD,sell,2007-04-21T20:00:00+00:00,2007-04-23T11:00:00+00:00,1.35812,1.35540,1.36125,1.35310,27062.7832,73.55988,,,140400.00,-32.20687,9989.64580,0.012095,0.680000,0.980862,0.211112
51,EURUSD,sell,2007-04-21T20:00:00+00:00,2007-04-23T12:00:00+00:00,1.35812,1.35661,1.35615,1.35310,9020.9277,13.67195,0.7684,,144000.00,-18.53492,9981.46508,0.012904,0.686275,0.988986,0.192927
52,EURUSD,buy,2007-04-25T18:00:00+00:00,2007-04-26T09:00:00+00:00,1.36456,1.36096,1.36142,1.36961,36584.9250,-131.55780,-1.1461,,54000.00,-150.09272,9849.90728,0.025914,0.673077,0.917277,-0.150880
53,EURUSD,buy,2007-04-29T06:00:00+00:00,2007-04-29T21:00:00+00:00,1.36582,1.36222,1.36268,1.37087,36069.4124,-129.82217,-1.1461,,54000.00,-279.91489,9720.08511,0.038752,0.660377,0.856028,-0.426552
54,EURUSD,buy,2007-04-30T12:00:00+00:00,2007-04-30T15:00:00+00:00,1.36272,1.36544,1.35959,1.36776,26756.2590,72.87221,,,10800.00,-207.04269,9834.25310,0.027462,0.666667,0.893509,-0.173408
55,EURUSD,buy,2007-04-30T12:00:00+00:00,2007-04-30T15:00:00+00:00,1.36272,1.36735,1.36272,1.36776,8918.7530,41.29578,,,10800.00,-165.74690,9834.25310,0.027462,0.672727,0.914749,-0.173408
56,EURUSD,buy,2007-05-01T12:00:00+00:00,2007-05-01T14:00:00+00:00,1.36591,1.36231,1.36277,1.37096,36009.7147,-129.61573,-1.1461,,7200.00,-295.36264,9704.63736,0.040280,0.660714,0.857577,-0.438912
57,EURUSD,buy,2007-05-02T14:00:00+00:00,2007-05-03T14:00:00+00:00,1.35981,1.35622,1.35668,1.36484,35694.5614,-127.91536,-1.1462,,86400.00,-423.27800,9576.72200,0.052930,0.649123,0.807755,-0.689495
58,EURUSD,sell,2007-05-04T15:00:00+00:00,2007-05-07T10:00:00+00:00,1.35814,1.36173,1.36127,1.35312,35246.1153,-126.28895,-1.1467,,241200.00,-549.56695,9450.43305,0.065419,0.637931,0.763937,-0.900230
59,EURUSD,sell,2007-05-08T09:00:00+00:00,2007-05-08T14:00:00+00:00,1.35690,1.35419,1.36002,1.35188,26109.8231,70.90589,,,18000.00,-478.66106,9561.51745,0.054433,0.644068,0.794394,-0.657658
60,EURUSD,sell,2007-05-08T09:00:00+00:00,2007-05-08T14:00:00+00:00,1.35690,1.35229,1.35690,1.35188,8703.2744,40.17852,,,18000.00,-438.48255,9561.51745,0.054433,0.650000,0.811652,-0.657658
61,EURUSD,sell,2007-05-13T20:00:00+00:00,2007-05-14T03:00:00+00:00,1.35165,1.35522,1.35476,1.34665,35359.0723,-126.09690,-1.1468,,25200.00,-564.57944,9435.42056,0.066903,0.639344,0.769949,-0.924235
62,EURUSD,sell,2007-05-18T18:00:00+00:00,2007-05-21T10:00:00+00:00,1.34999,1.34729,1.35310,1.34500,26201.7381,70.79325,,,230400.00,-493.78619,9546.32850,0.055935,0.645161,0.798795,-0.684478
63,EURUSD,sell,2007-05-18T18:00:00+00:00,2007-05-21T10:00:00+00:00,1.34999,1.34540,1.34999,1.34500,8733.9127,40.11469,,,230400.00,-453.67150,9546.32850,0.055935,0.650794,0.815141,-0.684478
64,EURUSD,buy,2007-05-23T10:00:00+00:00,2007-05-23T11:00:00+00:00,1.34593,1.34862,1.34284,1.35091,26605.6735,71.56954,,,3600.00,-382.10196,9613.87380,0.049256,0.656250,0.844303,-0.553347
65,EURUSD,buy,2007-05-23T10:00:00+00:00,2007-05-23T11:00:00+00:00,1.34593,1.34548,1.34593,1.35091,8868.5578,-4.02424,,,3600.00,-386.12620,9613.87380,0.049256,0.646154,0.842921,-0.553347
66,EURUSD,buy,2007-05-25T11:00:00+00:00,2007-05-25T14:00:00+00:00,1.34395,1.34664,1.34086,1.34892,26833.4091,72.07593,,,10800.00,-314.05027,9700.59125,0.040680,0.651515,0.872242,-0.390729
67,EURUSD,buy,2007-05-25T11:00:00+00:00,2007-05-25T15:00:00+00:00,1.34395,1.34424,1.34469,1.34892,8944.4697,2.53614,0.3848,,14400.00,-311.51412,9688.48588,0.041877,0.656716,0.873274,-0.413096
68,EURUSD,buy,2007-05-28T08:00:00+00:00,2007-05-29T02:00:00+00:00,1.34561,1.34207,1.34252,1.35059,36011.0536,-127.72126,-1.1463,,64800.00,-439.23539,9644.91978,0.046185,0.647059,0.830142,-0.469696
69,EURUSD,sell,2007-05-27T05:00:00+00:00,2007-05-29T08:00:00+00:00,1.34457,1.34811,1.34766,1.33959,36017.4795,-127.78080,-1.1469,,183600.00,-567.01618,9432.98382,0.067144,0.637681,0.791052,-0.808486
70,EURUSD,buy,2007-05-30T01:00:00+00:00,2007-05-30T10:00:00+00:00,1.34522,1.34168,1.34213,1.35020,35071.5479,-124.35354,-1.1463,,32400.00,-691.36973,9308.63027,0.079442,0.628571,0.756391,-1.006805
71,EURUSD,sell,2007-06-02T01:00:00+00:00,2007-06-04T09:00:00+00:00,1.34366,1.34720,1.34675,1.33868,34628.7750,-122.77208,-1.1469,,201600.00,-814.14180,9185.85820,0.091583,0.619718,0.725026,-1.172781
