symbol,entry_time,exit_time,entry_price,exit_price,size,pnl,confluence
EURUSD,2003-05-07T08:00:00+00:00,2003-05-07T12:00:00+00:00,1.13975,1.14198,46132.1077,-102.87460,
EURUSD,2003-05-07T10:00:00+00:00,2003-05-07T12:00:00+00:00,1.14001,1.14240,32282.8243,77.15595,
EURUSD,2003-05-07T10:00:00+00:00,2003-05-07T12:00:00+00:00,1.14001,1.14001,10760.9414,0.00000,
EURUSD,2003-05-07T01:00:00+00:00,2003-05-07T14:00:00+00:00,1.14091,1.13676,18620.7761,77.27622,
EURUSD,2003-05-07T01:00:00+00:00,2003-05-07T14:00:00+00:00,1.14091,1.14091,6206.9254,0.00000,
EURUSD,2003-05-07T06:00:00+00:00,2003-05-07T14:00:00+00:00,1.14016,1.13594,18283.4005,77.15595,
EURUSD,2003-05-07T06:00:00+00:00,2003-05-07T14:00:00+00:00,1.14016,1.14016,6094.4668,0.00000,
EURUSD,2003-05-07T12:00:00+00:00,2003-05-07T14:00:00+00:00,1.14144,1.13762,26863.1973,-102.61741,
EURUSD,2003-05-07T14:00:00+00:00,2003-05-07T16:00:00+00:00,1.13845,1.13367,16182.3579,77.35167,
EURUSD,2003-05-07T14:00:00+00:00,2003-05-07T17:00:00+00:00,1.13845,1.13692,5394.1193,8.25300,
EURUSD,2003-05-08T01:00:00+00:00,2003-05-08T02:00:00+00:00,1.13499,1.13344,50318.5199,77.99371,
EURUSD,2003-05-08T01:00:00+00:00,2003-05-08T02:00:00+00:00,1.13499,1.13499,16772.8400,0.00000,
EURUSD,2003-05-08T00:00:00+00:00,2003-05-08T04:00:00+00:00,1.13591,1.13265,31899.2662,-103.99161,
EURUSD,2003-05-08T06:00:00+00:00,2003-05-08T09:00:00+00:00,1.13259,1.13512,30750.4829,77.79872,
EURUSD,2003-05-08T06:00:00+00:00,2003-05-08T09:00:00+00:00,1.13259,1.13259,10250.1610,0.00000,
EURUSD,2003-05-08T07:00:00+00:00,2003-05-08T10:00:00+00:00,1.13306,1.13606,25932.9072,77.79872,
EURUSD,2003-05-08T07:00:00+00:00,2003-05-08T11:00:00+00:00,1.13306,1.13466,8644.3024,13.83088,
EURUSD,2003-05-08T04:00:00+00:00,2003-05-08T12:00:00+00:00,1.13206,1.13762,18656.7678,-103.73163,
EURUSD,2003-05-08T11:00:00+00:00,2003-05-08T12:00:00+00:00,1.13583,1.13750,47346.9665,79.06943,
EURUSD,2003-05-08T11:00:00+00:00,2003-05-08T12:00:00+00:00,1.13583,1.13583,15782.3222,0.00000,
EURUSD,2003-05-08T22:00:00+00:00,2003-05-09T00:00:00+00:00,1.14737,1.15077,30935.0853,-105.17929,
EURUSD,2003-05-09T02:00:00+00:00,2003-05-09T03:00:00+00:00,1.15188,1.15077,93808.5561,-104.12750,
EURUSD,2003-05-09T04:00:00+00:00,2003-05-09T07:00:00+00:00,1.15211,1.14818,26230.5909,-103.08622,
EURUSD,2003-05-09T06:00:00+00:00,2003-05-09T13:00:00+00:00,1.14961,1.14556,19090.0412,77.31467,
EURUSD,2003-05-09T09:00:00+00:00,2003-05-09T13:00:00+00:00,1.14975,1.14631,22250.4419,76.54152,
EURUSD,2003-05-09T06:00:00+00:00,2003-05-09T14:00:00+00:00,1.14961,1.14797,6363.3471,10.43589,
EURUSD,2003-05-09T09:00:00+00:00,2003-05-09T14:00:00+00:00,1.14975,1.14797,7416.8140,13.20193,
EURUSD,2003-05-09T17:00:00+00:00,2003-05-11T21:00:00+00:00,1.14840,1.14997,66133.9491,-103.83030,
EURUSD,2003-05-09T19:00:00+00:00,2003-05-11T21:00:00+00:00,1.14875,1.14981,73464.8350,77.87273,
EURUSD,2003-05-09T19:00:00+00:00,2003-05-11T21:00:00+00:00,1.14875,1.15087,24488.2783,51.91515,
EURUSD,2003-05-09T12:00:00+00:00,2003-05-11T22:00:00+00:00,1.14805,1.15319,19855.1284,-102.05536,
EURUSD,2003-05-09T15:00:00+00:00,2003-05-11T23:00:00+00:00,1.14869,1.15392,14889.6224,77.87273,
EURUSD,2003-05-09T15:00:00+00:00,2003-05-12T00:00:00+00:00,1.14869,1.15520,4963.2075,32.31048,
EURUSD,2003-05-12T02:00:00+00:00,2003-05-12T04:00:00+00:00,1.15645,1.15810,47350.5247,78.12837,
EURUSD,2003-05-12T02:00:00+00:00,2003-05-12T05:00:00+00:00,1.15645,1.15676,15783.5082,4.89289,
EURUSD,2003-05-12T05:00:00+00:00,2003-05-12T08:00:00+00:00,1.15621,1.15838,48387.7267,-105.00137,
EURUSD,2003-05-12T18:00:00+00:00,2003-05-12T19:00:00+00:00,1.15586,1.15705,65515.5587,77.96351,
EURUSD,2003-05-12T18:00:00+00:00,2003-05-12T19:00:00+00:00,1.15586,1.15586,21838.5196,0.00000,
EURUSD,2003-05-12T21:00:00+00:00,2003-05-13T00:00:00+00:00,1.15532,1.15225,34114.3284,-104.73099,
EURUSD,2003-05-12T22:00:00+00:00,2003-05-13T00:00:00+00:00,1.15625,1.15225,26182.7471,-104.73099,
EURUSD,2003-05-12T03:00:00+00:00,2003-05-13T01:00:00+00:00,1.15708,1.14867,12386.5820,-104.17115,
EURUSD,2003-05-12T04:00:00+00:00,2003-05-13T01:00:00+00:00,1.15729,1.14867,12175.4568,-104.95244,
EURUSD,2003-05-12T20:00:00+00:00,2003-05-13T01:00:00+00:00,1.15427,1.14798,12487.7967,78.54824,
