time_utc,open,high,low,close
2004-03-07T00:00:00Z,1.23642,1.23865,1.23552,1.23609
2004-03-08T00:00:00Z,1.23604,1.24230,1.23359,1.24182
2004-03-09T00:00:00Z,1.24182,1.24573,1.22716,1.23138
2004-03-10T00:00:00Z,1.23145,1.23282,1.21946,1.22271
2004-03-11T00:00:00Z,1.22256,1.23831,1.21620,1.23448
2004-03-12T00:00:00Z,1.23425,1.23519,1.21707,1.22145
2004-03-13T00:00:00Z,1.22145,1.22145,1.22145,1.22145
2004-03-14T00:00:00Z,1.22145,1.22171,1.21815,1.22099
2004-03-15T00:00:00Z,1.22088,1.23154,1.22013,1.22645
2004-03-16T00:00:00Z,1.22645,1.23695,1.22295,1.22545
2004-03-17T00:00:00Z,1.22542,1.22870,1.21730,1.22215
2004-03-18T00:00:00Z,1.22210,1.24315,1.22184,1.23819
2004-03-19T00:00:00Z,1.23825,1.24058,1.22540,1.22829
2004-03-20T00:00:00Z,1.22829,1.22829,1.22829,1.22829
2004-03-21T00:00:00Z,1.22829,1.22829,1.22657,1.22730
2004-03-22T00:00:00Z,1.22733,1.23983,1.22189,1.23385
2004-03-23T00:00:00Z,1.23400,1.23678,1.22628,1.23379
2004-03-24T00:00:00Z,1.23370,1.23653,1.21027,1.21330
2004-03-25T00:00:00Z,1.21334,1.21987,1.20962,1.21324
2004-03-26T00:00:00Z,1.21324,1.22083,1.20733,1.21272
2004-03-27T00:00:00Z,1.21272,1.21272,1.21272,1.21272
2004-03-28T00:00:00Z,1.21272,1.21403,1.21033,1.21146
2004-03-29T00:00:00Z,1.21141,1.21668,1.20559,1.21558
2004-03-30T00:00:00Z,1.21543,1.22263,1.21534,1.21774
2004-03-31T00:00:00Z,1.21770,1.23203,1.21682,1.23016
2004-04-01T00:00:00Z,1.22994,1.23862,1.22532,1.23526
2004-04-02T00:00:00Z,1.23527,1.23677,1.20978,1.21305
2004-04-03T00:00:00Z,1.21305,1.21305,1.21305,1.21305
2004-04-04T00:00:00Z,1.21305,1.21305,1.20936,1.21021
2004-04-05T00:00:00Z,1.20990,1.21263,1.19808,1.20074
2004-04-06T00:00:00Z,1.20086,1.21419,1.19802,1.21197
2004-04-07T00:00:00Z,1.21189,1.21966,1.20472,1.21656
2004-04-08T00:00:00Z,1.21650,1.22166,1.20574,1.20738
2004-04-09T00:00:00Z,1.20731,1.21104,1.20607,1.20858
2004-04-10T00:00:00Z,1.20869,1.20869,1.20869,1.20869
2004-04-11T00:00:00Z,1.20869,1.20922,1.20667,1.20683
2004-04-12T00:00:00Z,1.20726,1.20956,1.20490,1.20731
2004-04-13T00:00:00Z,1.20730,1.20808,1.19021,1.19240
2004-04-14T00:00:00Z,1.19248,1.19739,1.18678,1.19383
2004-04-15T00:00:00Z,1.19407,1.19920,1.18910,1.19727
2004-04-16T00:00:00Z,1.19732,1.20442,1.19210,1.19886
2004-04-17T00:00:00Z,1.19929,1.19929,1.19929,1.19929
2004-04-18T00:00:00Z,1.19929,1.20261,1.19929,1.20123
2004-04-19T00:00:00Z,1.20132,1.20756,1.19952,1.20022
2004-04-20T00:00:00Z,1.20049,1.20089,1.18198,1.18271
2004-04-21T00:00:00Z,1.18272,1.19111,1.17758,1.17937
2004-04-22T00:00:00Z,1.17941,1.19401,1.17913,1.19227
2004-04-23T00:00:00Z,1.19223,1.19262,1.17935,1.18415
2004-04-24T00:00:00Z,1.18380,1.18380,1.18380,1.18380
2004-04-25T00:00:00Z,1.18380,1.18380,1.17799,1.17893
2004-04-26T00:00:00Z,1.17908,1.18840,1.17573,1.18606
2004-04-27T00:00:00Z,1.18602,1.19456,1.18302,1.19238
2004-04-28T00:00:00Z,1.19212,1.19496,1.18200,1.18232
2004-04-29T00:00:00Z,1.18257,1.19841,1.18027,1.19538
2004-04-30T00:00:00Z,1.19547,1.20089,1.19185,1.19770
2004-05-01T00:00:00Z,1.19827,1.19827,1.19827,1.19827
2004-05-02T00:00:00Z,1.19827,1.20000,1.19745,1.19837
2004-05-03T00:00:00Z,1.19844,1.19934,1.19189,1.19336
2004-05-04T00:00:00Z,1.19309,1.21173,1.19284,1.21049
2004-05-05T00:00:00Z,1.21052,1.21786,1.20998,1.21584
2004-05-06T00:00:00Z,1.21604,1.21734,1.20625,1.20685
